0,2601,0,0,0,0,0,0,0,1,False
0,2602,-30,-50,2,7,0,0,0.7853981633974483,7,False
0,2603,-50,40,0,8,0,0,4.71238898038469,6,False
0,2604,50,75,-9,4,0,0,3.141592653589793,8,False
0,2601,0,0,0,0,0,0,0,1,False
0,2602,-30,-50,2,7,0,0,0.7853981633974483,7,False
0.5,2603,-50.0,44.0,0.7808688094430304,7.375304952445576,1.5617376188860608,-1.2493900951088486,4.71238898038469,6,False
0,2604,50,75,-9,4,0,0,3.141592653589793,8,False
0,2601,0,0,0,0,0,0,0,1,False
0,2602,-30,-50,2,7,0,0,0.7853981633974483,7,False
1.0,2603,-49.60956559527848,47.68765247622279,1.5315823263657857,6.714677057553551,1.5014270338455105,-1.3212557897840493,4.71238898038469,6,False
0,2604,50,75,-9,4,0,0,3.141592653589793,8,False
0,2601,0,0,0,0,0,0,0,1,False
0,2602,-30,-50,2,7,0,0,0.7853981633974483,7,False
1.5,2603,-48.84377443209559,51.04499100499956,2.2525159625463593,6.02167295062239,1.4418672723611472,-1.3860082138623226,4.71238898038469,6,False
0,2604,50,75,-9,4,0,0,3.141592653589793,8,False
0,2601,0,0,0,0,0,0,0,1,False
0,2602,-30,-50,2,7,0,0,0.7853981633974483,7,False
2.0,2603,-47.717516450822416,54.055827480310754,2.943872612922729,5.299159295401697,1.3827133007527392,-1.4450273104413858,4.71238898038469,6,False
0,2604,50,75,-9,4,0,0,3.141592653589793,8,False
0,2601,0,0,0,0,0,0,0,1,False
0,2602,-30,-50,2,7,0,0,0.7853981633974483,7,False
2.5,2603,-46.24558014436105,56.7054071280116,3.605659533500961,4.549467310816308,1.3235738411564646,-1.4993839691707795,4.71238898038469,6,False
0,2604,50,75,-9,4,0,0,3.141592653589793,8,False
0,2601,0,0,0,0,0,0,0,1,False
0,2602,-30,-50,2,7,0,0,0.7853981633974483,7,False
3.0,2603,-44.44275037761057,58.980140783419756,4.2376706044592725,3.7745079530522196,1.2640221419166238,-1.5499187155281762,4.71238898038469,6,False
0,2604,50,75,-9,4,0,0,3.141592653589793,8,False
0,2601,0,0,0,0,0,0,0,1,False
0,2602,-30,-50,2,7,0,0,0.7853981633974483,7,False
3.5,2603,-42.32391507538094,60.86739475994587,4.839468582241102,2.9758595986823497,1.2035959555636584,-1.5972967087397398,4.71238898038469,6,False
0,2604,50,75,-9,4,0,0,3.141592653589793,8,False
0,2601,0,0,0,0,0,0,0,1,False
0,2602,-30,-50,2,7,0,0,0.7853981633974483,7,False
4.0,2603,-39.90418078426039,62.35532455928704,5.410363801619702,2.1548366705672706,1.1417904387572022,-1.6420458562301588,4.71238898038469,6,False
0,2604,50,75,-9,4,0,0,3.141592653589793,8,False
0,2601,0,0,0,0,0,0,0,1,False
0,2602,-30,-50,2,7,0,0,0.7853981633974483,7,False
4.5,2603,-37.19899888345054,63.43274289457068,5.94938657459124,1.312545479696753,1.0780455459430747,-1.6845823817410353,4.71238898038469,6,False
0,2604,50,75,-9,4,0,0,3.141592653589793,8,False
0,2601,0,0,0,0,0,0,0,1,False
0,2602,-30,-50,2,7,0,0,0.7853981633974483,7,False
5.0,2603,-34.22430559615492,64.08901563441906,6.45525067021697,0.44993228900421434,1.0117281912514602,-1.7252263813850774,4.71238898038469,6,False
0,2604,50,75,-9,4,0,0,3.141592653589793,8,False
0,2601,0,0,0,0,0,0,0,1,False
0,2602,-30,-50,2,7,0,0,0.7853981633974483,7,False
5.5,2603,-30.996680261046436,64.31398177892116,6.926304943881484,-0.4321719402467271,0.942108547329027,-1.764208458501883,4.71238898038469,6,False
0,2604,50,75,-9,4,0,0,3.141592653589793,8,False
0,2601,0,0,0,0,0,0,0,1,False
0,2602,-30,-50,2,7,0,0,0.7853981633974483,7,False
6.0,2603,-27.533527789105694,64.0978958087978,7.36046948845867,-1.3330055254510562,0.8683290891543712,-1.8016671704086582,4.71238898038469,6,False
0,2604,50,75,-9,4,0,0,3.141592653589793,8,False
0,2601,0,0,0,0,0,0,0,1,False
0,2602,-30,-50,2,7,0,0,0.7853981633974483,7,False
6.5,2603,-23.85329304487636,63.43139304607227,7.682682904246886,-2.230780893049032,0.7893642438068614,-1.837635461836548,4.71238898038469,6,False
0,2604,50,75,-9,4,0,0,3.141592653589793,8,False
0,2601,0,0,0,0,0,0,0,1,False
0,2602,-30,-50,2,7,0,0,0.7853981633974483,7,False
7.0,2603,-20.011951592752915,62.31600259954776,7.442756795871835,-2.933491311987067,0.7893642438068612,-1.8376354618365476,4.71238898038469,6,False
0,2604,50,75,-9,4,0,0,3.141592653589793,8,False
0,2601,0,0,0,0,0,0,0,1,False
0,2602,-30,-50,2,7,0,0,0.7853981633974483,7,False
7.5,2603,-16.290573194816997,60.849256943554224,7.15122487982005,-3.5860818058492088,0.6115144907501403,-1.9042190072579879,4.71238898038469,6,False
0,2604,50,75,-9,4,0,0,3.141592653589793,8,False
0,2601,0,0,0,0,0,0,0,1,False
0,2602,-30,-50,2,7,0,0,0.7853981633974483,7,False
8.0,2603,-12.714960754906972,59.05621604062962,6.816482508435467,-4.187548950423545,0.517225248607589,-1.9319622258736888,4.71238898038469,6,False
0,2604,50,75,-9,4,0,0,3.141592653589793,8,False
0,2601,0,0,0,0,0,0,0,1,False
0,2602,-30,-50,2,7,0,0,0.7853981633974483,7,False
8.5,2603,-9.306719500689239,56.96244156541785,6.445968310486329,-4.738089545397598,0.42095902685455694,-1.9551965368498545,4.71238898038469,6,False
0,2604,50,75,-9,4,0,0,3.141592653589793,8,False
0,2601,0,0,0,0,0,0,0,1,False
